team,offense,defense,tempo,luck,margin,schedule_margin,opponent_offense,opponent_defense,non_conference,conf,year
Chicago St,97.1,105.2,65.5,.016,-8.09,-0.36,104.8,105.1,7.37,MCon,2005
FL Atlantic,100.3,108.5,72.9,-.075,-8.12,-7.58,99.4,107.0,6.56,ASun,2005
St Francis NY,96.8,105.0,69.7,-.028,-8.20,-8.55,98.4,106.9,-3.34,NEC,2005
Mercer,102.1,110.3,71.2,.009,-8.26,-10.20,97.7,107.9,-6.95,ASun,2005
Weber St,101.2,109.6,62.9,.010,-8.32,-6.40,98.7,105.1,-2.63,BSky,2005
Idaho,96.0,104.5,63.6,-.049,-8.55,-0.93,102.1,103.0,-0.92,BW,2005
Tulane,98.9,107.5,67.7,.019,-8.56,1.85,102.9,101.1,-11.62,CUSA,2005
Colgate,99.9,108.5,64.2,.024,-8.59,-4.08,99.2,103.3,-0.82,Pat,2005
Coppin St,92.9,101.6,64.1,.039,-8.71,-6.33,97.8,104.1,21.32,MEAC,2005
Columbia,95.5,104.4,66.1,-.014,-8.89,-7.65,97.8,105.4,-11.34,Ivy,2005
Rhode Island,95.5,104.4,62.0,-.025,-8.91,0.25,102.3,102.0,0.84,A10,2005
UT Arlington,96.9,105.9,68.4,.012,-8.94,-3.37,101.3,104.6,7.29,Slnd,2005
Stony Brook,95.8,104.9,64.7,.037,-9.02,-4.18,99.1,103.2,-4.81,AE,2005
Wagner,94.3,103.3,62.9,.018,-9.06,-6.31,100.2,106.5,2.48,NEC,2005
Texas St,102.1,111.4,61.7,.031,-9.23,-5.00,99.2,104.2,0.67,Slnd,2005
Duquesne,102.9,112.2,66.2,-.007,-9.28,1.53,103.6,102.1,1.43,A10,2005
ETSU,102.0,111.3,72.3,-.058,-9.31,-2.88,100.1,103.0,3.51,SC,2005
St Francis PA,104.5,113.9,64.1,.076,-9.47,-7.77,98.9,106.7,4.42,NEC,2005
MS Valley St,97.8,107.3,65.4,-.064,-9.48,-12.45,93.2,105.7,3.22,SWAC,2005
Robert Morris,103.1,112.8,65.4,.036,-9.65,-7.69,98.8,106.5,3.97,NEC,2005
Canisius,99.8,109.4,66.6,.035,-9.65,-4.56,101.2,105.7,-3.91,MAAC,2005
E Washington,92.5,102.3,63.3,-.093,-9.83,-2.31,102.7,105.0,7.35,BSky,2005
Troy,104.6,114.6,68.8,-.008,-9.95,-6.15,99.1,105.3,6.91,ASun,2005
UNC Asheville,101.0,111.2,68.6,-.009,-10.12,-4.54,100.0,104.5,11.07,BSth,2005
UC Davis,101.6,111.8,64.1,.013,-10.18,-3.69,100.6,104.3,-2.28,ind,2005
SF Austin,97.9,108.3,59.3,-.046,-10.43,-7.44,97.3,104.7,-10.08,Slnd,2005
Southern Utah,101.3,111.8,65.7,.070,-10.44,-3.38,102.1,105.4,-4.42,MCon,2005
UC Riverside,93.8,104.3,64.7,.010,-10.48,-1.96,102.1,104.1,-4.51,BW,2005
New Hampshire,97.8,108.3,66.4,-.024,-10.50,-2.91,100.1,103.0,0.46,AE,2005
Norfolk St,91.6,102.8,63.8,-.026,-11.23,-12.68,94.3,107.0,-0.09,MEAC,2005
New Mexico St,97.1,108.4,67.9,-.041,-11.30,1.61,104.3,102.6,2.16,SB,2005
Liberty,97.3,108.7,68.6,.096,-11.42,-6.10,99.2,105.3,3.65,BSth,2005
Coastal Car,99.4,111.4,67.7,-.027,-11.97,-5.65,99.5,105.2,1.17,BSth,2005
Long Island,94.1,106.2,68.6,.080,-12.11,-8.31,99.2,107.6,-1.26,NEC,2005
Lafayette,95.2,107.4,71.2,.019,-12.19,-1.92,100.8,102.7,1.26,Pat,2005
Lipscomb,95.5,107.8,64.1,.090,-12.30,-11.28,97.1,108.4,-17.19,ASun,2005
UTRGV,98.1,110.6,67.4,.018,-12.47,-3.56,101.2,104.8,0.34,ind,2005
Alabama A&M,90.5,102.9,72.8,-.023,-12.49,-14.52,92.4,106.9,1.14,SWAC,2005
CS Sacramento,95.4,108.0,70.3,.087,-12.53,-6.24,99.0,105.3,-1.50,BSky,2005
San Jose St,94.9,107.4,64.4,.031,-12.57,1.93,104.4,102.4,0.14,WAC,2005
Elon,92.0,104.7,62.7,.021,-12.67,-1.95,102.4,104.4,4.52,SC,2005
Dartmouth,94.5,107.2,61.0,.083,-12.71,-3.43,100.3,103.7,-2.60,Ivy,2005
Stetson,96.4,109.2,66.0,.015,-12.82,-5.93,100.4,106.3,11.58,ASun,2005
Navy,94.7,107.6,73.4,-.027,-12.94,-7.27,97.6,104.9,-9.64,Pat,2005
Siena,92.9,106.1,66.1,.013,-13.22,-1.88,102.8,104.7,1.96,MAAC,2005
Jacksonville St,99.9,113.3,66.5,-.075,-13.41,-3.08,102.1,105.1,-1.35,OVC,2005
UMBC,94.2,107.7,63.7,.065,-13.48,-5.40,98.8,104.2,-13.15,AE,2005
Charleston So,90.3,103.8,61.4,.106,-13.52,-6.41,99.5,105.9,-1.17,BSth,2005
Jacksonville,92.9,106.5,71.1,.129,-13.63,-9.65,98.3,107.9,-3.67,ASun,2005
William & Mary,94.4,108.2,66.7,-.036,-13.85,-3.51,100.2,103.7,-8.50,CAA,2005
Radford,98.1,112.1,65.6,.037,-14.00,-8.24,98.1,106.3,-5.26,BSth,2005
IPFW,94.7,108.7,65.6,-.043,-14.04,-1.12,103.5,104.6,3.33,ind,2005
ULM,95.9,110.0,64.8,-.070,-14.18,-4.08,100.9,105.0,0.00,Slnd,2005
Morehead St,95.7,110.0,64.9,.033,-14.26,-3.72,102.3,106.0,-1.05,OVC,2005
W Carolina,92.6,106.9,70.5,-.004,-14.34,-2.57,101.5,104.1,4.51,SC,2005
Quinnipiac,100.1,114.5,69.9,-.009,-14.34,-9.02,98.2,107.2,-3.80,NEC,2005
Morgan St,92.0,106.3,67.7,.045,-14.36,-12.16,94.4,106.6,-0.98,MEAC,2005
Towson,96.0,111.0,64.3,-.062,-15.02,-3.44,99.7,103.2,-6.39,CAA,2005
Jackson St,89.6,104.8,69.6,.058,-15.24,-12.45,93.9,106.3,1.14,SWAC,2005
Grambling,93.6,109.0,68.3,.122,-15.43,-15.15,91.1,106.2,8.65,SWAC,2005
Alabama St,87.1,102.8,61.8,.083,-15.76,-12.85,93.7,106.6,1.14,SWAC,2005
Florida A&M,96.0,111.8,67.7,.101,-15.78,-11.21,94.1,105.3,11.93,MEAC,2005
Citadel,90.7,106.5,68.3,.012,-15.78,-5.93,98.9,104.8,-14.88,SC,2005
TN Martin,96.7,112.5,67.1,-.004,-15.83,-1.50,103.5,105.0,3.23,OVC,2005
Southern Univ,90.8,107.1,67.9,.004,-16.32,-13.75,92.0,105.7,-0.21,SWAC,2005
Loyola MD,90.6,107.5,69.7,.035,-16.88,-4.59,101.7,106.3,-6.80,MAAC,2005
N Colorado,96.0,113.0,67.1,-.021,-16.97,1.61,103.8,102.2,11.46,ind,2005
Idaho St,90.6,107.6,65.8,-.017,-17.04,-7.03,99.6,106.7,-5.22,BSky,2005
Mt St Mary's,94.7,112.2,64.8,-.049,-17.48,-9.38,97.9,107.3,-6.68,NEC,2005
Hartford,92.1,109.7,65.0,.014,-17.60,-4.37,99.2,103.6,-7.32,AE,2005
Cal Poly SLO,96.8,114.7,71.2,.003,-17.87,-1.07,101.9,103.0,-3.80,BW,2005
James Madison,92.2,110.6,64.7,-.002,-18.32,-2.58,100.9,103.5,-4.10,CAA,2005
Bethune-Cookman,90.7,109.1,67.2,.073,-18.38,-12.40,93.3,105.7,-4.40,MEAC,2005
TX Southern,93.8,112.2,67.1,.050,-18.42,-14.85,91.1,105.9,-2.45,SWAC,2005
Sacred Heart,90.3,108.8,68.8,-.068,-18.48,-7.72,99.7,107.4,-0.06,NEC,2005
VMI,91.4,109.9,66.7,-.002,-18.53,-9.51,97.5,107.0,-9.51,BSth,2005
Nicholls St,95.6,114.3,70.8,-.104,-18.63,-4.67,99.6,104.3,-1.23,Slnd,2005
Youngstown St,92.2,111.8,64.2,-.001,-19.54,-0.65,103.2,103.8,-5.06,Horz,2005
Centenary,93.5,113.4,66.0,-.033,-19.89,-0.71,104.5,105.2,3.67,MCon,2005
NC A&T,83.1,103.6,73.2,-.024,-20.49,-9.68,97.0,106.7,4.46,MEAC,2005
St Bonaventure,92.7,113.9,68.0,-.012,-21.17,0.38,103.1,102.7,-1.39,A10,2005
Ark Pine Bluff,83.9,106.8,66.6,-.038,-22.97,-11.12,94.2,105.3,12.64,SWAC,2005
Campbell,87.9,111.4,67.4,-.084,-23.46,-6.68,100.0,106.7,5.75,ASun,2005
Howard,89.2,114.6,68.7,-.026,-25.43,-11.84,94.4,106.2,-4.46,MEAC,2005
Army,88.6,114.9,61.4,-.079,-26.29,-5.10,98.7,103.8,-7.92,Pat,2005
Prairie View,80.7,107.5,67.9,-.014,-26.71,-11.03,94.2,105.3,5.48,SWAC,2005
Alcorn St,79.0,106.1,68.9,.027,-27.05,-12.69,94.4,107.1,-0.69,SWAC,2005
Longwood,84.2,112.1,71.0,-.024,-27.87,-7.06,100.2,107.3,-5.87,ind,2005
Savannah St,78.6,115.8,70.6,-.019,-37.19,-8.36,97.3,105.7,-8.70,ind,2005
MD E Shore,78.9,116.8,70.2,.008,-37.94,-11.43,95.1,106.6,-5.01,MEAC,2005
Florida,117.9,89.7,66.9,-.011,28.28,8.35,107.7,99.3,-8.46,SEC,2006
Duke,119.4,91.8,69.8,.047,27.54,10.51,108.1,97.6,6.81,ACC,2006
Texas,117.5,91.7,63.9,.039,25.79,7.79,106.1,98.3,-0.02,B12,2006
Connecticut,117.8,92.3,68.7,.077,25.44,8.98,107.4,98.4,-3.80,BE,2006
Villanova,116.3,91.7,65.6,.080,24.59,10.79,108.4,97.6,3.17,BE,2006
Memphis,113.2,89.6,70.8,-.007,23.54,3.89,103.9,100.0,7.82,CUSA,2006
UCLA,112.7,89.3,61.6,.020,23.40,8.30,107.4,99.1,1.60,P10,2006
Kansas,110.4,87.2,67.7,-.043,23.22,6.03,106.0,99.9,-1.11,B12,2006
Illinois,114.5,91.3,62.1,-.019,23.20,6.77,106.4,99.6,-4.52,B10,2006
North Carolina,115.9,93.7,70.2,-.010,22.16,9.10,107.6,98.6,-0.83,ACC,2006
LSU,109.8,87.8,67.5,.008,22.00,10.68,108.3,97.6,1.75,SEC,2006
Pittsburgh,112.4,90.6,64.6,-.031,21.72,7.81,108.0,100.1,-6.92,BE,2006
Georgetown,116.5,95.2,57.8,-.026,21.29,9.58,108.1,98.5,-1.83,BE,2006
Ohio St,113.0,92.3,65.2,.028,20.68,6.74,107.0,100.3,-3.33,B10,2006
Washington,114.8,94.7,71.6,.007,20.09,5.21,105.5,100.3,-7.56,P10,2006
West Virginia,116.1,96.6,62.5,-.046,19.49,10.37,108.4,98.0,-0.49,BE,2006
Tennessee,116.6,97.2,71.1,.012,19.44,9.44,108.0,98.5,-0.74,SEC,2006
Boston College,117.8,99.2,61.5,.024,18.65,7.43,107.1,99.7,-5.69,ACC,2006
South Carolina,114.9,96.4,59.2,-.057,18.54,10.30,108.4,98.1,0.22,SEC,2006
Arkansas,112.2,93.8,66.0,-.062,18.47,6.35,106.0,99.6,-4.78,SEC,2006
Iowa,103.8,85.6,64.7,.046,18.22,7.86,107.7,99.9,-0.77,B10,2006
George Mason,109.7,91.5,62.6,.017,18.16,4.11,105.3,101.2,2.16,CAA,2006
Arizona,112.2,95.0,67.7,-.037,17.23,10.53,108.0,97.5,9.27,P10,2006
Kentucky,114.4,97.3,64.1,-.001,17.13,10.02,108.2,98.2,3.02,SEC,2006
Bradley,107.5,91.0,69.3,-.019,16.50,6.94,105.4,98.5,-2.22,MVC,2006
Wichita St,111.8,95.7,62.6,.032,16.06,6.03,104.7,98.7,0.35,MVC,2006
Michigan St,116.3,100.3,64.2,.004,16.02,8.89,106.4,97.5,-1.03,B10,2006
Michigan,113.1,97.2,67.0,.012,15.98,7.94,106.7,98.8,-0.97,B10,2006
Notre Dame,117.3,101.4,64.2,-.145,15.97,7.75,108.3,100.5,-4.54,BE,2006
NC State,112.5,96.6,64.4,.013,15.92,6.74,107.1,100.3,-7.99,ACC,2006
Texas A&M,106.7,90.8,63.0,-.008,15.90,4.22,104.8,100.6,-12.20,B12,2006
Northern Iowa,109.0,93.1,59.6,-.025,15.84,6.18,104.4,98.2,0.24,MVC,2006
Gonzaga,119.1,103.5,66.3,.036,15.64,4.38,104.4,100.0,7.98,WCC,2006
Indiana,110.0,94.4,66.5,-.012,15.53,9.77,108.8,99.0,2.17,B10,2006
Missouri St,111.0,95.5,68.6,.039,15.52,6.14,104.8,98.7,1.80,MVC,2006
Marquette,112.8,97.4,68.1,-.012,15.36,8.82,108.6,99.8,-1.71,BE,2006
Nevada,110.0,94.8,65.8,.024,15.22,1.90,103.6,101.7,3.89,WAC,2006
Florida St,110.1,95.1,68.3,-.033,15.01,5.43,106.0,100.6,-11.70,ACC,2006
Wisconsin,111.5,96.6,65.2,-.024,14.94,7.96,106.6,98.6,0.91,B10,2006
Air Force,113.2,98.3,54.7,-.001,14.87,0.57,102.8,102.2,-6.63,MWC,2006
St Joseph's PA,109.8,95.0,61.9,-.064,14.84,7.64,106.7,99.1,12.40,A10,2006
UNC Wilmington,107.2,92.4,62.6,-.006,14.77,1.59,103.6,102.0,0.11,CAA,2006
G Washington,110.3,95.6,71.2,.106,14.67,-1.23,101.1,102.4,-15.01,A10,2006
Cincinnati,110.9,96.6,68.5,-.001,14.27,8.99,107.0,98.0,2.61,BE,2006
Oklahoma,113.0,99.0,62.4,.049,13.99,6.16,105.5,99.3,-0.61,B12,2006
Louisville,108.2,94.2,64.8,-.041,13.98,6.11,106.8,100.7,-8.19,BE,2006
California,110.5,96.8,61.9,.021,13.68,7.59,106.8,99.3,-0.77,P10,2006
S Illinois,102.9,89.3,60.7,.032,13.60,5.81,103.6,97.8,0.44,MVC,2006
Vanderbilt,114.7,101.2,61.9,-.030,13.58,8.56,108.1,99.5,-2.76,SEC,2006
Syracuse,110.0,96.8,68.3,.077,13.15,8.71,107.5,98.8,-3.79,BE,2006
Creighton,107.2,94.1,62.7,.000,13.11,5.24,103.7,98.5,-1.08,MVC,2006
San Diego St,112.8,100.0,66.1,-.001,12.78,2.27,103.7,101.5,-2.20,MWC,2006
Oklahoma St,107.9,95.2,64.7,-.096,12.76,6.50,106.6,100.1,-1.32,B12,2006
Xavier,110.9,98.2,65.3,-.065,12.73,1.91,103.6,101.6,-3.38,A10,2006
Miami FL,111.2,98.5,61.0,-.039,12.71,9.46,108.0,98.5,-3.68,ACC,2006
UAB,109.1,96.5,68.5,.058,12.65,1.51,101.8,100.3,0.98,CUSA,2006
Maryland,107.6,95.0,72.4,-.022,12.63,8.02,107.8,99.8,-2.26,ACC,2006
Bucknell,105.7,93.1,61.8,.092,12.56,-3.17,100.2,103.4,7.18,Pat,2006
Clemson,105.9,93.4,68.6,-.049,12.51,6.35,106.2,99.8,-4.81,ACC,2006
Alabama,112.8,100.3,63.4,.005,12.48,9.21,107.7,98.4,1.60,SEC,2006
Butler,114.9,102.9,58.3,-.072,12.00,1.16,103.0,101.9,3.14,Horz,2006
WI Milwaukee,108.3,96.5,67.7,.017,11.86,1.54,104.9,103.4,4.95,Horz,2006
Hofstra,111.3,99.6,66.2,.097,11.72,2.10,102.7,100.6,-3.98,CAA,2006
Temple,109.1,97.7,59.9,-.051,11.38,6.84,106.2,99.3,9.95,A10,2006
Iona,109.7,98.4,69.6,.024,11.33,0.66,106.0,105.3,3.83,MAAC,2006
Oregon,111.9,100.6,63.6,-.144,11.31,7.33,106.1,98.7,-1.30,P10,2006
Old Dominion,106.9,95.7,65.0,.056,11.15,2.16,104.2,102.1,-0.03,CAA,2006
Pacific,109.8,99.0,62.8,.010,10.87,-1.99,102.7,104.7,0.54,BW,2006
Utah St,113.4,102.6,60.9,.026,10.86,1.59,102.8,101.2,-2.41,WAC,2006
Kent,108.3,97.8,65.7,.017,10.54,0.67,103.2,102.5,-1.52,MAC,2006
Rutgers,109.5,99.1,64.0,-.002,10.41,6.82,106.0,99.2,-3.96,BE,2006
Colorado,109.2,99.0,69.9,.049,10.27,4.24,104.4,100.2,-5.98,B12,2006
Winthrop,104.4,94.2,64.0,-.027,10.27,-5.29,102.1,107.4,8.15,BSth,2006
Virginia Tech,108.2,97.9,63.3,-.149,10.25,5.61,105.3,99.7,-9.60,ACC,2006
Houston,103.5,93.3,67.5,-.014,10.21,1.61,102.6,101.0,2.22,CUSA,2006
Iowa St,111.2,101.2,69.8,-.052,10.03,6.75,105.6,98.8,1.77,B12,2006
Kansas St,105.9,96.3,63.1,-.097,9.59,3.77,105.2,101.4,-6.05,B12,2006
Stanford,105.9,96.4,64.3,.006,9.56,7.73,107.1,99.4,-1.23,P10,2006
Providence,112.2,102.7,68.7,-.058,9.47,9.18,108.4,99.2,1.71,BE,2006
Wake Forest,110.4,100.9,66.9,-.033,9.46,8.32,107.4,99.1,-4.51,ACC,2006
Virginia,106.1,96.7,63.8,-.015,9.41,8.79,108.2,99.4,-4.05,ACC,2006
Minnesota,104.4,95.1,64.2,-.016,9.34,7.00,106.1,99.1,-5.16,B10,2006
Akron,111.1,101.8,64.1,.037,9.28,0.82,102.5,101.7,1.96,MAC,2006
South Alabama,109.1,99.9,65.7,.056,9.28,-2.51,100.8,103.3,-3.47,SB,2006
UTEP,103.7,94.6,62.1,-.024,9.13,-0.23,101.4,101.6,-0.41,CUSA,2006
Seton Hall,106.5,97.4,65.7,.086,9.06,6.93,106.0,99.1,-1.81,BE,2006
Montana,111.6,102.7,66.2,.056,8.95,-0.62,103.6,104.2,-0.71,BSky,2006
UNLV,105.3,96.8,66.5,-.031,8.57,3.83,104.9,101.1,2.31,MWC,2006
Murray St,104.5,96.0,63.2,.010,8.56,-5.31,102.3,107.6,4.32,OVC,2006
DePaul,110.2,101.8,61.4,.004,8.42,10.47,108.3,97.8,7.26,BE,2006
BYU,110.1,102.2,70.7,.074,7.87,2.21,103.5,101.3,-2.84,MWC,2006
WKU,111.3,103.5,68.5,.080,7.78,-0.72,102.2,103.0,1.81,SB,2006
Northwestern LA,106.6,99.1,67.6,.016,7.51,-1.45,102.2,103.6,10.25,Slnd,2006
Charlotte,107.5,100.0,65.5,-.004,7.45,2.69,103.9,101.2,0.09,A10,2006
La Salle,107.3,99.8,64.3,.036,7.44,0.34,102.8,102.5,-3.57,A10,2006
Louisiana Tech,101.1,93.6,64.8,.029,7.43,3.38,104.0,100.6,2.94,WAC,2006
Penn,101.8,94.5,64.3,-.030,7.30,-5.06,100.0,105.0,1.85,Ivy,2006
Hawaii,106.9,99.8,62.4,-.024,7.10,1.78,102.8,101.0,0.46,WAC,2006
Washington St,97.4,90.3,60.1,-.110,7.10,7.35,107.3,100.0,-1.88,P10,2006
Drexel,100.3,93.4,62.5,-.112,6.95,1.99,103.3,101.4,2.99,CAA,2006
Miami OH,104.3,97.5,60.0,.019,6.89,2.21,104.2,102.0,6.80,MAC,2006
USC,105.0,98.3,66.6,.020,6.74,5.63,105.1,99.4,-6.85,P10,2006
Georgia Tech,104.8,98.1,68.4,-.097,6.66,7.75,108.0,100.2,-6.34,ACC,2006
VA Commonwealth,107.2,100.5,62.1,.005,6.63,-1.21,101.8,103.0,-4.72,CAA,2006
Massachusetts,101.1,94.6,65.5,-.069,6.48,4.44,105.4,100.9,4.85,A10,2006
St Mary's CA,105.8,99.3,64.2,-.032,6.46,1.65,103.8,102.2,2.54,WCC,2006
Georgia,103.4,97.0,68.5,.025,6.33,8.34,108.3,100.0,-3.35,SEC,2006
Marist,113.1,107.0,64.9,-.015,6.08,-1.06,104.1,105.2,-1.86,MAAC,2006
Ohio,106.4,100.4,64.3,.020,6.01,0.19,103.6,103.4,0.81,MAC,2006
Northeastern,107.0,101.1,69.1,.039,5.90,0.53,103.0,102.4,-0.25,CAA,2006
Nebraska,102.9,97.1,64.6,.057,5.84,3.98,104.5,100.5,-9.69,B12,2006
Oral Roberts,107.1,101.4,66.9,-.035,5.70,-3.45,102.8,106.2,6.88,MCon,2006
Auburn,104.2,98.6,65.2,-.018,5.58,8.07,107.3,99.2,-1.86,SEC,2006
Mississippi St,102.9,97.3,66.7,.027,5.53,5.84,106.4,100.6,-4.37,SEC,2006
New Mexico,105.4,100.1,60.2,-.003,5.30,1.91,103.9,102.0,-2.75,MWC,2006
Penn St,109.5,104.2,63.8,.015,5.27,5.25,104.8,99.6,-11.27,B10,2006
St John's,97.6,92.3,62.5,-.038,5.27,6.47,106.9,100.5,-7.08,BE,2006
Toledo,101.4,96.2,67.5,-.023,5.17,-3.01,101.8,104.8,-6.87,MAC,2006
San Diego,106.9,101.7,69.6,-.034,5.14,-0.41,103.2,103.6,-3.39,WCC,2006
N Illinois,112.7,107.7,61.9,.012,5.10,0.13,101.8,101.7,3.56,MAC,2006
Texas Tech,105.6,100.6,65.9,-.012,5.03,6.54,105.4,98.9,-1.28,B12,2006
Davidson,109.9,105.0,66.0,-.025,4.86,-3.30,101.4,104.7,9.24,SC,2006
Northwestern,102.8,97.9,58.2,.005,4.86,7.35,107.0,99.6,-1.24,B10,2006
TAM C. Christi,104.6,99.8,69.3,-.055,4.83,-8.09,98.1,106.1,0.93,ind,2006
St Louis,99.2,94.6,61.0,.029,4.56,3.05,104.5,101.5,0.97,A10,2006
New Mexico St,105.6,101.4,66.9,.044,4.23,3.88,104.3,100.5,3.50,WAC,2006
Fordham,107.6,103.5,62.7,-.014,4.12,2.41,103.8,101.4,2.91,A10,2006
Colorado St,107.7,103.6,68.2,-.042,4.09,2.83,104.2,101.4,-0.14,MWC,2006
Holy Cross,100.3,96.3,64.7,.002,4.06,-4.47,99.2,103.7,1.79,Pat,2006
UC Irvine,110.0,106.6,61.7,-.025,3.38,-2.98,101.9,104.9,-2.01,BW,2006
Dayton,102.7,99.5,62.3,-.092,3.15,2.52,103.6,101.1,-2.06,A10,2006
Siena,105.0,101.9,67.0,-.008,3.11,0.51,105.6,105.0,4.24,MAAC,2006
Samford,110.0,107.0,55.8,.043,3.05,-3.94,102.2,106.2,12.34,OVC,2006
Manhattan,107.8,104.8,67.5,.104,3.00,0.87,105.2,104.4,1.99,MAAC,2006
Loy Marymount,100.2,97.3,70.7,-.044,2.95,4.05,106.2,102.2,5.29,WCC,2006
Drake,107.0,104.2,64.4,-.062,2.87,5.96,104.4,98.4,1.53,MVC,2006
Fresno St,105.6,102.8,69.2,.039,2.78,2.30,103.8,101.5,1.09,WAC,2006
Albany NY,106.2,103.6,63.8,.027,2.63,-5.65,99.6,105.3,0.12,AE,2006
Buffalo,106.0,103.4,67.3,.030,2.56,-0.68,102.5,103.2,-1.31,MAC,2006
Utah,104.8,102.4,60.2,-.026,2.47,2.65,104.3,101.7,-2.09,MWC,2006
Arizona St,104.8,102.6,64.8,-.027,2.26,5.53,105.1,99.6,-6.99,P10,2006
Wyoming,99.1,97.3,68.3,-.030,1.85,2.64,104.2,101.6,-3.09,MWC,2006
Boise St,101.8,100.0,69.8,-.049,1.78,0.89,103.7,102.8,-3.08,WAC,2006
Loyola-Chicago,107.5,105.8,65.9,.078,1.63,-0.77,103.6,104.3,-0.71,Horz,2006
Long Beach St,107.6,106.1,74.1,.027,1.54,-2.38,102.6,105.0,-2.24,BW,2006
St Peter's,106.2,105.2,66.6,.041,1.00,-0.05,105.0,105.1,-0.79,MAAC,2006
Mississippi,102.5,101.6,63.8,.029,0.93,4.72,105.4,100.7,-9.77,SEC,2006
E Washington,106.7,106.0,65.7,-.006,0.73,0.71,104.8,104.0,4.19,BSky,2006
Oregon St,104.4,103.8,64.5,.031,0.58,6.05,105.1,99.1,-5.28,P10,2006
Rhode Island,104.0,103.4,62.3,.043,0.55,1.71,103.3,101.6,-2.94,A10,2006
Missouri,103.9,103.7,64.6,.034,0.28,5.62,105.7,100.1,-4.98,B12,2006
San Francisco,103.5,103.2,64.1,-.017,0.28,2.34,104.5,102.2,2.46,WCC,2006
ULL,98.4,98.2,66.1,.020,0.21,2.14,104.0,101.9,7.03,SB,2006
Baylor,102.6,102.4,65.5,-.046,0.18,11.81,108.7,96.9,-99.00,B12,2006
Purdue,101.9,101.7,65.5,-.009,0.14,8.25,107.5,99.3,-0.79,B10,2006
CS Sacramento,106.7,106.7,67.9,-.031,-0.01,-0.49,104.1,104.6,0.86,BSky,2006
Northern Arizona,103.9,104.0,69.2,.079,-0.04,-2.60,103.4,106.0,-3.09,BSky,2006
Central Conn,109.6,109.6,62.0,-.027,-0.07,-7.66,97.5,105.2,-3.20,NEC,2006
MTSU,105.0,105.3,64.4,.065,-0.22,-1.26,102.4,103.6,1.91,SB,2006
Santa Clara,100.7,101.1,64.8,.014,-0.41,3.13,105.0,101.9,5.26,WCC,2006
Ga Southern,101.2,101.6,72.2,.077,-0.43,-5.88,100.5,106.4,-3.48,SC,2006
Portland St,102.1,102.6,65.6,-.094,-0.59,0.03,105.5,105.4,2.41,BSky,2006
N Dakota St,103.8,104.4,65.0,-.066,-0.65,-4.34,102.0,106.4,-1.65,ind,2006
Monmouth NJ,95.8,96.4,64.6,.018,-0.68,-3.55,101.2,104.7,4.12,NEC,2006
Belmont,107.1,107.8,69.1,.024,-0.73,-8.62,99.7,108.4,5.97,ASun,2006
CS Fullerton,107.3,108.1,68.2,-.036,-0.77,-4.85,100.3,105.2,-6.46,BW,2006
Coastal Car,106.5,107.3,61.7,.069,-0.83,-6.48,100.4,106.8,1.56,BSth,2006
Troy,105.4,106.3,64.8,-.105,-0.89,-3.23,101.1,104.3,-4.56,SB,2006
Illinois St,92.8,93.6,61.2,-.095,-0.89,4.49,103.8,99.3,-6.25,MVC,2006
IL Chicago,105.4,106.4,63.9,.088,-0.95,0.59,104.1,103.6,3.32,Horz,2006
South Florida,95.7,96.7,61.6,-.104,-1.01,5.82,106.3,100.5,-4.74,BE,2006
Denver,98.5,99.6,64.1,-.010,-1.03,-2.69,102.5,105.2,-5.37,SB,2006
F Dickinson,101.5,102.5,69.1,.037,-1.05,-5.56,99.8,105.3,4.12,NEC,2006
Santa Barbara,102.2,103.3,62.0,-.016,-1.05,-2.41,102.4,104.8,0.87,BW,2006
Valparaiso,105.1,106.2,69.2,.003,-1.17,-5.77,101.7,107.4,0.04,MCon,2006
Detroit,104.2,105.5,60.0,.048,-1.29,1.06,104.2,103.1,4.96,Horz,2006
Lipscomb,100.2,101.8,64.6,.011,-1.63,-10.55,99.6,110.1,-4.20,ASun,2006
IUPUI,105.4,107.2,60.8,.064,-1.73,-5.50,101.9,107.4,2.16,MCon,2006
Indiana St,101.1,102.9,64.7,.101,-1.77,5.35,104.4,99.0,-5.81,MVC,2006
Col Charleston,99.6,101.5,67.9,-.044,-1.95,-7.76,100.1,107.9,-7.95,SC,2006
Niagara,106.4,108.4,65.2,-.038,-1.99,0.43,105.5,105.0,1.43,MAAC,2006
Sam Houston St,101.5,103.5,67.9,.159,-2.01,-3.62,100.8,104.4,3.52,Slnd,2006
Wright St,101.0,103.0,61.0,.016,-2.03,0.23,104.4,104.2,0.81,Horz,2006
Loyola MD,105.3,107.4,68.8,.076,-2.13,-1.68,104.5,106.2,-4.41,MAAC,2006
SF Austin,102.8,105.0,63.4,-.090,-2.23,-7.96,98.1,106.1,-7.41,Slnd,2006
Birmingham So,109.0,111.2,58.2,.088,-2.26,-8.33,99.3,107.6,-5.80,BSth,2006
SMU,98.3,100.7,64.6,-.113,-2.40,-4.30,98.6,102.9,-10.33,CUSA,2006
Evansville,100.4,102.9,67.4,.046,-2.42,4.64,103.7,99.0,-5.90,MVC,2006
SE Louisiana,101.0,103.6,61.6,.000,-2.64,-4.97,100.5,105.5,1.46,Slnd,2006
UCF,99.9,102.6,62.0,-.027,-2.74,-3.23,100.1,103.3,-7.62,CUSA,2006
